한글선수명,영문선수명,소속팀,포지션,경기수,선발출전,출전시간(분),태클성공,인터셉트,클리어링,블록,공중볼승리
요나탄 타,Jonathan Tah,Leverkusen,DF,3,3,270,8,6,15,4,12
니코 슐로터베크,Nico Schlotterbeck,Dortmund,DF,3,3,270,7,8,18,6,14
발데마르 안톤,Waldemar Anton,Dortmund,DF,3,3,270,9,5,16,5,10
다비드 라움,David Raum,Leipzig,DF,3,3,270,6,4,12,3,7
나다니엘 브라운,Nathaniel Brown,Frankfurt,DF,2,2,180,5,3,9,2,5
안토니오 뤼디거,Antonio Rüdiger,Real Madrid,DF,3,3,270,10,7,20,7,16
말릭 티아우,Malik Thiaw,Newcastle,DF,3,3,270,7,6,17,5,12
로빈 코흐,Robin Koch,Frankfurt,DF,3,3,270,7,6,17,5,13
막시밀리안 미텔슈테트,Maximilian Mittelstädt,Stuttgart,DF,3,3,270,8,5,11,4,6
니클라스 쥘레,Niklas Süle,Dortmund,DF,2,2,180,4,4,14,6,9
틸로 케러,Thilo Kehrer,Monaco,DF,3,3,270,6,7,19,5,11
알렉산더 파블로비치,Aleksandar Pavlović,Bayern Munich,MF,3,3,270,11,9,8,4,4
안젤로 슈틸러,Angelo Stiller,Stuttgart,MF,3,3,270,12,10,6,3,5
파스칼 그로스,Pascal Groß,Brighton,MF,3,3,270,10,9,7,4,6
