한글선수명,영문선수명,소속팀,포지션,경기수,선발출전,출전시간(분),90분환산,실점,90분당실점,유효슈팅허용,선방,선방률(%),승리,무승부,패배,클린시트,클린시트율(%),PK직면,PK실점,PK선방,PK실축,PK선방률(%)
마누엘 노이어,Manuel Neuer,Bayern Munich,GK,2,2,180,2.0,1,0.50,5,4,80.0,1,1,0,1,50.0,0,0,0,0,0.0
올리버 바우만,Oliver Baumann,Hoffenheim,GK,2,2,180,2.0,6,3.00,11,5,45.5,0,0,2,0,0.0,0,0,0,0,0.0
알렉산더 뉘벨,Alexander Nübel,Stuttgart,GK,3,3,270,3.0,2,0.67,10,8,80.0,2,1,0,1,33.3,1,1,0,0,0.0
마르크안드레 테어 슈테겐,Marc-André ter Stegen,Barcelona,GK,4,4,360,4.0,3,0.75,15,12,80.0,3,0,1,2,50.0,1,0,1,0,100.0
노아 아투볼루,Noah Atubolu,Frankfurt,GK,2,2,180,2.0,7,3.50,19,12,63.2,0,1,1,0,0.0,0,0,0,0,0.0
미오 백하우스,Mio Backhaus,Freiburg,GK,2,2,180,2.0,1,0.50,6,5,83.3,2,0,0,1,50.0,0,0,0,0,0.0
파비안 브레들로,Fabian Bredlow,Stuttgart,GK,2,2,180,2.0,6,3.00,14,8,57.1,1,0,1,0,0.0,0,0,0,0,0.0
핀 다멘,Finn Dahmen,Augsburg,GK,2,2,180,2.0,1,0.50,12,11,91.7,2,0,0,1,50.0,0,0,0,0,0.0
로리스 카리우스,Loris Karius,Schalke 04,GK,2,2,180,2.0,3,1.50,18,15,83.3,0,1,1,1,50.0,0,0,0,0,0.0
모리츠 니콜라스,Moritz Nicolas,Gladbach,GK,2,2,180,2.0,7,3.50,21,14,66.7,0,0,2,0,0.0,0,0,0,0,0.0
나후엘 놀,Nahuel Noll,Paderborn 07,GK,2,2,180,2.0,1,0.50,9,8,88.9,0,1,1,1,50.0,0,0,0,0,0.0
마르빈 슈베베,Marvin Schwäbe,Köln,GK,2,2,180,2.0,6,3.00,11,5,45.5,1,0,1,0,0.0,1,0,1,0,100.0
알렉산더 슈볼로프,Alexander Schwolow,Mainz 05,GK,1,1,90,1.0,0,0.00,1,1,100.0,0,0,1,1,100.0,0,0,0,0,0.0
로빈 첸트너,Robin Zentner,Mainz 05,GK,1,1,90,1.0,0,0.00,0,0,0.0,0,1,0,1,100.0,0,0,0,0,0.0
